Format,Common Name,Scientific Name,Date,Year,Month,Day,Time,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Air Temp(°C)
Audio,Ruby-throated Hummingbird,Archilochus colubris,5/5/1995,1995,5,5,900,US-TX-469,Texas,Victoria,24.0 km NW of Victoria; Guadalupe River,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1997,,,,US-MO-019,Missouri,Boone,Grindstone Nature Area,38.9287679,-92.3171282,Adult – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1997,4,,,US-TX-355,Texas,Nueces,"Flour Bluff, Corpus Christi",27.650856,-97.297662,Adult – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1997,4,,,US-TX-355,Texas,Nueces,"Flour Bluff, Corpus Christi",27.650856,-97.297662,Adult – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1997,4,,,US-TX-355,Texas,Nueces,"Flour Bluff, Corpus Christi",27.650856,-97.297662,Adult – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,4/23/1997,1997,4,23,,US-TX-355,Texas,Nueces,"Flour Bluff, Corpus Christi",27.650856,-97.297662,Adult Female – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1998,4,,,US-TX,Texas,,,,,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/17/2000,2000,7,17,1000,US-NH-009,New Hampshire,Grafton,Helene Nagy's house,43.8777803,-72.102062,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/27/2001,2001,4,27,900,US-TX-167,Texas,Galveston,High Island (UTC 051),29.565224,-94.3963361,Adult Female – 1,
Audio,Ruby-throated Hummingbird,Archilochus colubris,8/18/2001,2001,8,18,0,US-NJ-009,New Jersey,Cape May,Stevens Street-yard,38.9417118,-74.9477327,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/24/2002,2002,6,24,0,US-WI-029,Wisconsin,Door,Rushes - Logerquist Wilderness  Preserve (Private),45.0193368,-87.1686602,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/5/2005,2005,5,5,638,US-TX-261,Texas,Kenedy,El Canelo Ranch entrance road  and  Inn at El Canelo,26.662,-97.8305,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/5/2005,2005,5,5,638,US-TX-261,Texas,Kenedy,El Canelo Ranch entrance road  and  Inn at El Canelo,26.662,-97.8305,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/30/2005,2005,5,30,0,US-MO-077,Missouri,Greene,Woodbine St.,37.2698608,-93.3027864,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/17/2005,2005,7,17,1745,US-LA-103,Louisiana,St. Tammany,221 Leeds,30.2844718,-89.7136158,Adult Male,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/4/2006,2006,5,4,0,US-DC-001,District of Columbia,District of Columbia,Rock Creek Park--Maintenance Yard,38.9554951,-77.0493486,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/11/2006,2006,5,11,0,US-TX-321,Texas,Matagorda,Mad Island WMA- Crab Lake area,28.6743231,-96.0500336,Adult Female – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/28/2006,2006,6,28,0,US-WI-029,Wisconsin,Door,Rushes - Logerquist Wilderness  Preserve (Private),45.0193368,-87.1686602,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/28/2006,2006,6,28,0,US-WI-029,Wisconsin,Door,Rushes - Logerquist Wilderness  Preserve (Private),45.0193368,-87.1686602,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/29/2006,2006,6,29,0,US-WI-029,Wisconsin,Door,Rushes - Logerquist Wilderness  Preserve (Private),45.0193368,-87.1686602,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/27/2006,2006,7,27,0,US-WI-029,Wisconsin,Door,Chambers Island,45.1700762,-87.3529823,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/12/2006,2006,8,12,0,US-MN-135,Minnesota,Roseau,Warroad,48.90529,-95.31444,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/12/2006,2006,8,12,0,US-MN-135,Minnesota,Roseau,Warroad,48.90529,-95.31444,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/23/2006,2006,8,23,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/23/2006,2006,8,23,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,11/6/2006,2006,11,6,0,US-PA-029,Pennsylvania,Chester,Jennersville,39.8217216,-75.8802509,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,11/6/2006,2006,11,6,0,US-PA-029,Pennsylvania,Chester,Jennersville,39.8217216,-75.8802509,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/7/2007,2007,4,7,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/7/2007,2007,4,7,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/7/2007,2007,4,7,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/25/2007,2007,5,25,0,US-NH-007,New Hampshire,Coos,"Akers Pond, north end",44.8035296,-71.1649543,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/27/2007,2007,5,27,0,US-WI-029,Wisconsin,Door,Chambers Island,45.1700762,-87.3529823,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/3/2007,2007,6,3,645,US-NY-009,New York,Cattaraugus,Allegany SP--Camp Allegany,42.0991777,-78.7229633,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/3/2007,2007,6,3,645,US-NY-009,New York,Cattaraugus,Allegany SP--Camp Allegany,42.0991777,-78.7229633,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/24/2007,2007,6,24,1248,US-NY-019,New York,Clinton,"Morrisonville, Brookside Ave",44.6995011,-73.5544163,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/15/2007,2007,8,15,1232,US-TX-027,Texas,Bell,"Texas Home, First Time",31.1010161,-97.4823211,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/27/2007,2007,8,27,1904,US-TX-027,Texas,Bell,"Texas Home, First Time",31.1010161,-97.4823211,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,9/29/2007,2007,9,29,0,US-GA-067,Georgia,Cobb,Cochran Shoals Unit,33.9023364,-84.4443512,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,10/1/2007,2007,10,1,819,US-AZ-023,Arizona,Santa Cruz,Paton Center for Hummingbirds (Patons' Yard),31.5390131,-110.7606337,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,11/24/2007,2007,11,24,1530,US-IN-057,Indiana,Hamilton,D'Ambra,39.9295191,-86.1324203,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,11/24/2007,2007,11,24,1530,US-IN-057,Indiana,Hamilton,D'Ambra,39.9295191,-86.1324203,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/5/2008,2008,4,5,1440,US-TX-201,Texas,Harris,7831 Rollingbrook Drive,29.6637531,-95.5156557,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/6/2008,2008,4,6,643,US-TX-201,Texas,Harris,7831 Rollingbrook Drive,29.6637531,-95.5156557,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/6/2008,2008,4,6,1440,US-TX-201,Texas,Harris,7831 Rollingbrook Drive,29.6637531,-95.5156557,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/8/2008,2008,4,8,643,US-TX-201,Texas,Harris,7831 Rollingbrook Drive,29.6637531,-95.5156557,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/18/2008,2008,4,18,0,US-GA-067,Georgia,Cobb,Kennesaw Mountain Drive,33.9776892,-84.5787898,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/18/2008,2008,4,18,0,US-GA-067,Georgia,Cobb,Kennesaw Mountain Drive,33.9776892,-84.5787898,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/18/2008,2008,4,18,0,US-GA-067,Georgia,Cobb,Kennesaw Mountain Drive,33.9776892,-84.5787898,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/18/2008,2008,4,18,0,US-GA-067,Georgia,Cobb,Kennesaw Mountain Drive,33.9776892,-84.5787898,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/25/2008,2008,4,25,900,US-NC-081,North Carolina,Guilford,Price Park,36.1042366,-79.8786331,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/20/2008,2008,5,20,0,US-MN-003,Minnesota,Anoka,Our Minnesota Property,45.287,-93.499,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/31/2008,2008,5,31,700,US-NY-009,New York,Cattaraugus,Allegany SP--Camp Allegany,42.0991777,-78.7229633,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/31/2008,2008,5,31,700,US-NY-009,New York,Cattaraugus,Allegany SP--Camp Allegany,42.0991777,-78.7229633,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/24/2008,2008,6,24,824,US-NY-069,New York,Ontario,"*US-NY-ONT Manchester--889 LaRue Rd. - PRIVATE, 1984-2025 (3176D) [Clifton Springs_NE]",42.99468,-77.15822,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/28/2008,2008,7,28,1100,US-NY-039,New York,Greene,"Catskill, New York",42.2320186,-73.9509916,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/29/2008,2008,8,29,0,US-WI-029,Wisconsin,Door,Chambers Island,45.1700762,-87.3529823,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/4/2009,2009,4,4,0,US-TX-027,Texas,Bell,Gault School,30.888,-97.7107,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/14/2009,2009,4,14,700,US-TN-095,Tennessee,Lake,Black Bayou Refuge--Main Unit,36.4475821,-89.3967734,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/14/2009,2009,4,14,1405,US-TX-061,Texas,Cameron,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/15/2009,2009,4,15,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/15/2009,2009,4,15,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/14/2009,2009,5,14,932,US-ME-011,Maine,Kennebec,"Ridge Road, Waterville",44.5756543,-69.6410787,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/14/2009,2009,5,14,932,US-ME-011,Maine,Kennebec,"Ridge Road, Waterville",44.5756543,-69.6410787,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/25/2009,2009,5,25,0,US-WI-111,Wisconsin,Sauk,Baxter's Hollow SNA,43.3943263,-89.7968388,Adult Male – 1,
Audio,Ruby-throated Hummingbird,Archilochus colubris,6/7/2009,2009,6,7,730,US-NY-009,New York,Cattaraugus,Allegany State Park,42.0996,-78.74846,Adult – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/15/2009,2009,6,15,0,US-WI-029,Wisconsin,Door,Chambers Island,45.1700762,-87.3529823,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/18/2009,2009,6,18,1630,US-VA-015,Virginia,Augusta,Buckhorn Inn & Ramseys Draft,38.285333,-79.2432215,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/18/2009,2009,6,18,1630,US-VA-015,Virginia,Augusta,Buckhorn Inn & Ramseys Draft,38.285333,-79.2432215,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/18/2009,2009,6,18,1630,US-VA-015,Virginia,Augusta,Buckhorn Inn & Ramseys Draft,38.285333,-79.2432215,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/18/2009,2009,6,18,1630,US-VA-015,Virginia,Augusta,Buckhorn Inn & Ramseys Draft,38.285333,-79.2432215,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/5/2009,2009,7,5,1630,US-ME-003,Maine,Aroostook,Portage Lake,46.7603588,-68.4889399,Adult Male – 1,
Audio,Ruby-throated Hummingbird,Archilochus colubris,7/6/2009,2009,7,6,830,US-MI-075,Michigan,Jackson,"US-MI, Waterloo Twp.",42.3104649,-84.1996645,Adult Male – 1,
Audio,Ruby-throated Hummingbird,Archilochus colubris,7/6/2009,2009,7,6,830,US-MI-075,Michigan,Jackson,"US-MI, Waterloo Twp.",42.3104649,-84.1996645,Adult Female – 1,
Audio,Ruby-throated Hummingbird,Archilochus colubris,7/6/2009,2009,7,6,830,US-MI-075,Michigan,Jackson,"US-MI, Waterloo Twp.",42.3104649,-84.1996645,Adult Female – 1,
Audio,Ruby-throated Hummingbird,Archilochus colubris,7/6/2009,2009,7,6,830,US-MI-075,Michigan,Jackson,"US-MI, Waterloo Twp.",42.3104649,-84.1996645,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/14/2009,2009,7,14,1600,US-WI-085,Wisconsin,Oneida,Moen Lake Chain (forest and lakes),45.6441082,-89.2885923,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/25/2009,2009,7,25,0,US-ME-027,Maine,Waldo,"Nickerson Farm, Lincolnville (PRIVATE)",44.2848862,-69.0591681,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/27/2009,2009,7,27,1230,US-TN-041,Tennessee,DeKalb,Dan and Marianna,36.0078188,-85.9818964,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/15/2009,2009,8,15,850,US-OH-155,Ohio,Trumbull,Mosquito Wildlife Area on Western Reserve Greenway Bike Trail,41.4345254,-80.8490075,Adult Female,
Audio,Ruby-throated Hummingbird,Archilochus colubris,8/19/2009,2009,8,19,1830,US-NY-109,New York,Tompkins,Town of Dryden; Whitted Road,42.4181975,-76.4326358,Adult – 1,
Audio,Ruby-throated Hummingbird,Archilochus colubris,8/22/2009,2009,8,22,1715,US-NY-109,New York,Tompkins,Town of Dryden; Whitted Road,42.4183164,-76.4327645,Adult – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/23/2009,2009,8,23,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/23/2009,2009,8,23,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/23/2009,2009,8,23,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/23/2009,2009,8,23,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/31/2009,2009,8,31,948,US-TX-273,Texas,Kleberg,Kingsville - Kingsman Apartments,27.4928736,-97.8672731,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/31/2009,2009,8,31,948,US-TX-273,Texas,Kleberg,Kingsville - Kingsman Apartments,27.4928736,-97.8672731,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,9/13/2009,2009,9,13,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1; Unknown – 4,
Photo,Ruby-throated Hummingbird,Archilochus colubris,9/13/2009,2009,9,13,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1; Unknown – 3,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/16/2010,2010,4,16,700,US-TX-167,Texas,Galveston,High Island--Boy Scout Woods (UTC 055),29.5613445,-94.3902236,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/3/2010,2010,5,3,0,US-KY-101,Kentucky,Henderson,John James Audubon SP*,37.880288,-87.5562439,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/15/2010,2010,5,15,0,US-CT-011,Connecticut,New London,"Fleming Court, Groton",41.3515215,-72.0751808,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/15/2010,2010,5,15,0,US-CT-011,Connecticut,New London,"Fleming Court, Groton",41.3515215,-72.0751808,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/16/2010,2010,5,16,1100,US-OH-049,Ohio,Franklin,Blendon Woods Metro Park,40.0716223,-82.8795313,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/18/2010,2010,5,18,1000,US-NC-101,North Carolina,Johnston,Howell Woods Env. Learning Center,35.3705751,-78.2975006,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/22/2010,2010,5,22,0,US-MA-023,Massachusetts,Plymouth,Wompatuck SP (Plymouth Co.),42.2062945,-70.8417813,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/26/2010,2010,5,26,1654,US-CT-011,Connecticut,New London,"Fleming Court, Groton",41.3515215,-72.0751808,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/5/2010,2010,6,5,630,US-MO-055,Missouri,Crawford,Early Farm,37.7733307,-91.1683187,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/9/2010,2010,6,9,800,US-NC-055,North Carolina,Dare,Nags Head,35.9514688,-75.6259346,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/17/2010,2010,6,17,0,US-NH-009,New Hampshire,Grafton,Franconia Notch SP,44.169908,-71.687409,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/17/2010,2010,6,17,0,US-WV-075,West Virginia,Pocahontas,Monongahela NF--Cranberry Glades Botanical Area,38.2043972,-80.266242,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/7/2010,2010,7,7,0,US-AR-113,Arkansas,Polk,Queen Wilhelmina SP,34.6846049,-94.370842,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/12/2010,2010,7,12,1836,US-CT-011,Connecticut,New London,"Fleming Court, Groton",41.3515215,-72.0751808,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/15/2010,2010,7,15,600,US-MO-035,Missouri,Carter,Peck Ranch CA,37.0420722,-91.1865444,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/18/2010,2010,7,18,1300,US-OH-049,Ohio,Franklin,Inniswood Metro Gardens,40.10108,-82.8991327,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/21/2010,2010,7,21,703,US-IL-077,Illinois,Jackson,"210 S Brook Ln, Carbondale US-IL (37.7244,-89.2310)",37.72442,-89.230982,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/28/2010,2010,7,28,0,US-CT-011,Connecticut,New London,"Fleming Court, Groton",41.3515215,-72.0751808,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/1/2010,2010,8,1,0,US-CT-011,Connecticut,New London,"Fleming Court, Groton",41.3515215,-72.0751808,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/3/2010,2010,8,3,0,US-CT-011,Connecticut,New London,"Fleming Court, Groton",41.3515215,-72.0751808,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/14/2010,2010,8,14,1750,US-NE-153,Nebraska,Sarpy,"Normandy Hills, Bellevue",41.0895728,-95.9192276,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/18/2010,2010,8,18,1600,US-TX-201,Texas,Harris,7831 Rollingbrook Drive,29.6637531,-95.5156557,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/21/2010,2010,8,21,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1; Unknown – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/21/2010,2010,8,21,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/21/2010,2010,8,21,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/21/2010,2010,8,21,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,9/3/2010,2010,9,3,1930,US-OH-023,Ohio,Clark,Hillside Yard,39.9289291,-83.7741235,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,9/3/2010,2010,9,3,1930,US-OH-023,Ohio,Clark,Hillside Yard,39.9289291,-83.7741235,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,9/10/2010,2010,9,10,930,US-TN-017,Tennessee,Carroll,Diamond Drive,36.1378054,-88.5037994,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,9/10/2010,2010,9,10,930,US-TN-017,Tennessee,Carroll,Diamond Drive,36.1378054,-88.5037994,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,9/10/2010,2010,9,10,930,US-TN-017,Tennessee,Carroll,Diamond Drive,36.1378054,-88.5037994,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,11/14/2010,2010,11,14,700,US-FL-086,Florida,Miami-Dade,Castellow Hammock Park,25.5587322,-80.4517114,Adult,
Photo,Ruby-throated Hummingbird,Archilochus colubris,11/27/2010,2010,11,27,1100,US-TX-215,Texas,Hidalgo,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/28/2011,2011,4,28,735,US-DC-001,District of Columbia,District of Columbia,Kenilworth Park and Aquatic Gardens,38.9133204,-76.9443433,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/1/2011,2011,5,1,820,US-PA-071,Pennsylvania,Lancaster,295 Dogwood Dr.,40.1398106,-76.6490364,Adult Male,
Audio,Ruby-throated Hummingbird,Archilochus colubris,5/4/2011,2011,5,4,825,US-LA-033,Louisiana,East Baton Rouge,Ovid Street,30.4300996,-91.1638212,Adult Female – 1,
Audio,Ruby-throated Hummingbird,Archilochus colubris,5/4/2011,2011,5,4,825,US-LA-033,Louisiana,East Baton Rouge,Ovid Street,30.4300996,-91.1638212,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/6/2011,2011,5,6,0,US-SC-003,South Carolina,Aiken,Silver Bluff Audubon Center & Sanctuary,33.325,-81.8541667,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/19/2011,2011,6,19,800,US-SC-013,South Carolina,Beaufort,Pinckney Island NWR,32.2338143,-80.7789678,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/20/2011,2011,6,20,745,US-MN-061,Minnesota,Itasca,"Sandy's House, Little Bass Lake",47.2800565,-93.6036122,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/25/2011,2011,6,25,0,US-IA-149,Iowa,Plymouth,Five Ridge Prairie State Preserve,42.6743586,-96.5310127,Adult Male,
Audio,Ruby-throated Hummingbird,Archilochus colubris,7/24/2011,2011,7,24,1625,US-NY-109,New York,Tompkins,Monkey Run Casita,42.4625889,-76.4269153,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/26/2011,2011,7,26,1422,US-MI-031,Michigan,Cheboygan,"donnasdoor, Indian River,MI",45.4757886,-84.530084,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/15/2011,2011,8,15,1500,US-OH-023,Ohio,Clark,Hillside Yard,39.9289291,-83.7741235,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/17/2011,2011,8,17,1246,US-TX-201,Texas,Harris,7831 Rollingbrook Drive,29.6637531,-95.5156557,Adult Male,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/17/2011,2011,8,17,1246,US-TX-201,Texas,Harris,7831 Rollingbrook Drive,29.6637531,-95.5156557,Adult Male,
